age,income,race,true_cost,predicted_cost
44.96714153011233,61194.843492688015,Black,12517.353724549605,12369.407997360848
38.61735698828815,57397.06946330215,Asian,16749.880327965508,16598.549119313848
46.47688538100692,50477.042959361395,Black,19582.810151048197,23527.894504627813
55.23029856408026,44824.50577835541,Asian,12751.77390150735,9979.798016709354
37.658466252766644,55585.78650890872,Asian,15390.700934373435,16401.879418045184
37.6586304305082,53147.883083374,Hispanic,14980.213139592506,17958.439356249084
55.79212815507391,57161.54576022186,Asian,21036.33664699472,25579.236137840315
47.67434729152909,55081.37441345576,Black,20346.72168518125,19537.926838813328
35.30525614065048,58396.42172255468,Hispanic,16391.312233313733,17374.171138754133
45.42560043585965,45718.118307515455,White,20884.10436069699,22023.625075094285
35.365823071875376,60539.152525074605,White,17266.599577063673,17657.563040170255
35.34270246429743,51580.796837539194,Hispanic,18641.724448369732,18444.03404589112
42.41962271566034,66602.08698100212,Black,28367.260451492686,29239.21123049278
20.86719755342202,44486.49745528346,White,26702.30525895174,21637.81308851237
22.750821674869673,63887.710425321995,White,13502.093815362012,14866.232795487274
34.37712470759027,51583.28626770118,Asian,24148.66208939587,24401.017896719804
29.87168879665576,44788.655971084416,Asian,24056.98277245796,23612.03297890143
43.142473325952736,46128.91332756543,Black,14258.683556236909,18352.407947676023
30.91975924478789,47437.22153444544,Hispanic,24093.888218774304,22744.0201811932
25.876962986647086,53393.32757121533,Black,27689.659592062766,26883.507613932703
54.65648768921554,54182.683904284,Hispanic,14387.27596877793,18370.3825731874
37.74223699513465,45410.399968491365,White,15412.485894928683,13748.36328522897
40.67528204687924,49805.16326191214,Asian,25088.307334217512,23988.076768344436
25.752518137865433,67138.16286889491,Black,21357.47655412824,21063.42570726654
34.556172754748175,63820.34536080569,Black,22757.381376197616,24438.850340456716
41.10922589709866,53490.58935739226,Hispanic,21702.946082002483,22118.55109670911
28.490064225776973,50304.027825345605,Hispanic,21953.47960464072,19368.228910336195
43.75698018345672,50960.25061374609,Black,13367.639358444585,12303.302232190206
33.99361310081195,54908.14378184333,Hispanic,25236.588533107242,24021.87966668282
37.083062502067236,41817.65947841275,Black,25847.949962138868,25693.50787169278
33.98293387770603,47940.98770061324,Black,18853.046279659862,19704.73359691952
58.522781845089376,36651.32740897928,Black,19782.61525093069,20619.02676270663
39.86502775262066,53193.78498084223,White,12344.46248722139,8792.438979124585
29.422890710440996,55177.56751762193,Hispanic,22571.273780089174,24699.155755210886
48.225449121031886,46134.508301605005,Asian,22860.28720857072,23365.42490056397
27.791563500289776,62591.894106320266,Asian,19689.044915003444,22458.109010191256
42.08863595004755,40193.87469598127,Hispanic,25621.766799352514,26510.16345393386
20.403298761202244,38285.00095832144,Black,18329.6138451003,20532.259760571822
26.718139511015693,51795.614548479774,Asian,22823.029629468,23756.120252368255
41.96861235869123,58376.78642089724,Asian,14901.678306539423,17594.12981894492
47.38466579995411,63471.42153166295,Hispanic,19882.23924562881,20926.740517664366
